company_name,cin,financial_year,cohort,sector,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,capex,opinion_type,going_concern_uncertainty,emphasis_of_matter,fraud_reported,auditor_name,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,2023,defaulter,FMCG / Foods / Agro,1212.0,-31.0,25.0,32.0,-31.0,26.0,-59.0,1013.0,,,1938.0,,,,-100.0,7.0,-5.0,-15.0,-13.0,,,,,,,,,,,
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,2022,defaulter,FMCG / Foods / Agro,1135.0,-10.0,29.0,32.0,-9.0,52.0,-26.0,1018.0,,,1967.0,,,,-67.0,45.0,-0.0,-53.0,-8.0,,,,,,,,,,,
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,2021,defaulter,FMCG / Foods / Agro,1263.0,-4.0,31.0,35.0,-4.0,62.0,-17.0,1031.0,,,2079.0,,,,-58.0,23.0,3.0,-33.0,-7.0,,,,,,,,,,,
SpiceJet Ltd,L51909DL1984PLC288239,2023,defaulter,Travel / Aviation / Hospitality,8869.0,-1503.0,507.0,1019.0,-1503.0,23.0,-3231.0,7348.0,,,10280.0,,,,-3833.0,93.0,561.0,-632.0,23.0,,,,,,,,,,,
SpiceJet Ltd,L51909DL1984PLC288239,2022,defaulter,Travel / Aviation / Hospitality,6557.0,-1725.0,486.0,1290.0,-1725.0,51.0,-4288.0,8330.0,,,9520.0,,,,-4890.0,978.0,-122.0,-876.0,-20.0,,,,,,,,,,,
SpiceJet Ltd,L51909DL1984PLC288239,2021,defaulter,Travel / Aviation / Hospitality,5133.0,-998.0,603.0,1558.0,-998.0,1163.0,-2571.0,1068.0,,,11376.0,,,,-3172.0,226.0,210.0,-435.0,1.0,,,,,,,,,,,
Surya Pharmaceutical,L24232DL1992PLC227186,2014,defaulter,Pharma,12.64,-726.77,254.79,62.63,-443.85,-634.03,-781.10,2019.53,128.16,2132.86,1543.19,11.58,1.15,5.55,-801.38,,,,,,,,,,,,,,,
Surya Pharmaceutical,L24232DL1992PLC227186,2013,defaulter,Pharma,56.01,-301.81,203.69,62.47,-156.90,-174.62,-54.33,1885.22,968.90,1790.83,2017.48,7.23,628.41,225.00,-74.61,165.55,-7.90,-160.30,-2.65,,,,,,,,266.81,,,
Surya Pharmaceutical,L24232DL1992PLC227186,2012,defaulter,Pharma,1620.58,-272.50,165.85,34.62,-120.72,-192.75,247.48,1655.77,1171.30,1637.01,2127.66,9.88,812.25,236.21,227.20,385.56,-149.98,-241.17,-5.60,,,,,,,,212.87,,,
Suzlon Energy Ltd,L40100GJ1995PLC025447,2018,defaulter,Oil & Gas / Energy,5977.0,-1156.0,1223.0,419.0,-1155.0,487.0,354.0,7357.0,,,12841.0,,,,-710.0,-796.0,32.0,1058.0,293.0,,,,,,,,,,,
Suzlon Energy Ltd,L40100GJ1995PLC025447,2017,defaulter,Oil & Gas / Energy,9246.0,356.0,931.0,414.0,356.0,1701.0,1023.0,6075.0,,,14226.0,,,,18.0,2801.0,-1844.0,-898.0,59.0,,,,,,,,,,,
Suzlon Energy Ltd,L40100GJ1995PLC025447,2016,defaulter,Oil & Gas / Energy,5942.0,378.0,776.0,420.0,365.0,1561.0,604.0,6210.0,,,12292.0,,,,-400.0,1555.0,2156.0,-3685.0,27.0,,,,,,,,,,,
Unity Infraprojects,L99999MH1997PLC107153,2016,defaulter,Infrastructure,381.0,-540.0,306.0,24.0,-540.0,-210.0,65.0,2775.0,,,3352.0,,,,41.0,-57.0,-27.0,89.0,5.0,,,,,,,,,,,
Unity Infraprojects,L99999MH1997PLC107153,2015,defaulter,Infrastructure,771.0,-340.0,277.0,26.0,-334.0,-31.0,574.0,2417.0,,,3527.0,,,,559.0,-844.0,30.0,703.0,-110.0,,,,,,,,,,,
Unity Infraprojects,L99999MH1997PLC107153,2014,defaulter,Infrastructure,1896.0,6.0,228.0,20.0,2.0,250.0,843.0,1978.0,,,3439.0,,,,828.0,-218.0,-34.0,266.0,14.0,,,,,,,,,,,
Varun Industries,L28990MH1996PLC097945,2013,defaulter,Steel & Metals,168.03,-34.48,214.64,17.77,-1.24,180.58,257.27,1462.65,1837.20,850.87,2236.26,8.30,34.11,1723.87,228.16,-15.54,180.64,-252.89,-87.79,,,,,,,,260.67,,,
Varun Industries,L28990MH1996PLC097945,2012,defaulter,Steel & Metals,3191.59,-157.80,116.08,19.18,0.04,138.11,297.54,1231.67,1725.84,1791.29,2152.71,96.09,86.78,1483.99,268.43,-234.84,-17.87,15.62,-237.08,,,,,,,,310.97,,,
Varun Industries,L28990MH1996PLC097945,2011,defaulter,Steel & Metals,2917.36,39.34,91.21,19.05,20.22,169.82,461.62,915.45,1776.80,1669.19,2180.76,333.18,107.53,1287.42,432.51,432.49,-26.34,-132.72,273.43,,,,,,,,207.60,,,
Videocon Industries Ltd,L99999MH1986PLC103624,2017,defaulter,Engineering / Manufacturing,11607.0,-2080.0,3270.0,955.0,-2514.0,1711.0,9833.0,21620.0,,,37659.0,,,,9499.0,4863.0,1019.0,-5979.0,-97.0,,,,,,,,,,,
Videocon Industries Ltd,L99999MH1986PLC103624,2016,defaulter,Engineering / Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Videocon Industries Ltd,L99999MH1986PLC103624,2015,defaulter,Engineering / Manufacturing,11858.0,-56.0,2385.0,702.0,-61.0,3026.0,10306.0,23774.0,,,37876.0,,,,9972.0,6360.0,-3644.0,-2894.0,-178.0,,,,,,,,,,,
Visa Steel Limited,L51109OR1996PLC004601,2021,defaulter,Steel & Metals,611.0,-290.0,20.0,47.0,-290.0,-223.0,-256.0,1396.0,,,1526.0,,,,-372.0,16.0,0.0,-14.0,2.0,,,,,,,,,,,
Visa Steel Limited,L51109OR1996PLC004601,2020,defaulter,Steel & Metals,348.0,-85.0,17.0,48.0,-85.0,-20.0,35.0,1353.0,,,1807.0,,,,-81.0,13.0,39.0,-47.0,6.0,,,,,,,,,,,
Visa Steel Limited,L51109OR1996PLC004601,2019,defaulter,Steel & Metals,805.0,-66.0,13.0,46.0,-66.0,-7.0,121.0,1379.0,,,1881.0,,,,5.0,55.0,20.0,-90.0,-16.0,,,,,,,,,,,
C Mahendra Exports Limited,L27205MH2007PLC166717,2015,defaulter,Gems & Jewellery,583.51,-133.95,73.24,8.15,0.46,-52.10,492.06,1165.19,1795.93,1540.90,2038.58,14.89,163.02,1604.25,418.99,-26.49,9.11,17.21,-0.17,,,,,,,,145.49,,,
C Mahendra Exports Limited,L27205MH2007PLC166717,2014,defaulter,Gems & Jewellery,2024.13,5.92,80.49,8.35,3.40,98.17,616.01,1105.19,2086.83,1716.07,2342.31,19.12,515.47,1534.73,540.17,14.67,6.20,-22.66,-1.78,,,,,,,,133.99,,,
C Mahendra Exports Limited,L27205MH2007PLC166717,2013,defaulter,Gems & Jewellery,2111.44,31.17,86.61,8.79,-2.37,124.20,611.14,1065.98,1874.38,1519.74,2135.78,21.47,568.10,1269.01,535.30,20.39,-43.45,24.62,1.56,,,,,,,,139.00,,,
ABB India Limited,L32202KA1949PLC032923,2017,non_defaulter,Engineering / Manufacturing,6094.0,420.0,62.0,101.0,528.0,691.0,3607.0,608.0,,,8888.0,,,,3565.0,792.0,-318.0,-171.0,302.0,,,,,,,,,,,
ABB India Limited,L32202KA1949PLC032923,2016,non_defaulter,Engineering / Manufacturing,8642.0,374.0,108.0,151.0,573.0,832.0,3286.0,600.0,,,7731.0,,,,3244.0,863.0,-68.0,-179.0,615.0,,,,,,,,,,,
ABB India Limited,L32202KA1949PLC032923,2015,non_defaulter,Engineering / Manufacturing,8136.0,300.0,106.0,160.0,475.0,741.0,3008.0,600.0,,,7409.0,,,,2966.0,382.0,-76.0,42.0,347.0,,,,,,,,,,,
Bajaj Finance Limited,L65910MH1987PLC042961,2023,non_defaulter,NBFC / Leasing,,10290.0,9424.0,444.0,13882.0,23750.0,51493.0,161685.0,,,216525.0,,,,51372.0,-27302.0,-12400.0,38021.0,-1682.0,,,,,,,,,,,
Bajaj Finance Limited,L65910MH1987PLC042961,2022,non_defaulter,NBFC / Leasing,,6350.0,7678.0,355.0,8586.0,16619.0,42056.0,123040.0,,,168017.0,,,,41935.0,-23856.0,3806.0,21550.0,1501.0,,,,,,,,,,,
Bajaj Finance Limited,L65910MH1987PLC042961,2021,non_defaulter,NBFC / Leasing,,3956.0,7550.0,302.0,5363.0,13215.0,35938.0,99854.0,,,138284.0,,,,35818.0,4386.0,424.0,-4113.0,697.0,,,,,,,,,,,
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2017,non_defaulter,Engineering / Manufacturing,28435.0,496.0,412.0,849.0,628.0,1889.0,32295.0,150.0,,,61580.0,,,,31805.0,562.0,-566.0,-470.0,-474.0,,,,,,,,,,,
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2016,non_defaulter,Engineering / Manufacturing,25467.0,-710.0,359.0,936.0,-1164.0,131.0,32182.0,202.0,,,65419.0,,,,31692.0,347.0,51.0,-124.0,274.0,,,,,,,,,,,
Bharat Heavy Electricals Limited,L74899DL1964GOI004281,2015,non_defaulter,Engineering / Manufacturing,30717.0,1419.0,92.0,1077.0,2140.0,3309.0,34085.0,118.0,,,68604.0,,,,33595.0,775.0,464.0,-3300.0,-2060.0,,,,,,,,,,,
Blue Dart Express Limited,L66000MH1991PLC062329,2020,non_defaulter,Logistics,3166.0,-38.0,32.0,153.0,-47.0,138.0,584.0,75.0,,,1561.0,,,,560.0,94.0,-39.0,-222.0,-168.0,,,,,,,,,,,
Blue Dart Express Limited,L66000MH1991PLC062329,2019,non_defaulter,Logistics,3165.0,88.0,15.0,48.0,128.0,191.0,665.0,146.0,,,1370.0,,,,641.0,157.0,-46.0,-71.0,40.0,,,,,,,,,,,
Blue Dart Express Limited,L66000MH1991PLC062329,2018,non_defaulter,Logistics,2791.0,142.0,26.0,45.0,212.0,283.0,621.0,166.0,,,1226.0,,,,597.0,210.0,-5.0,-235.0,-30.0,,,,,,,,,,,
Britannia Industries Limited,L15412WB1918PLC002964,2018,non_defaulter,FMCG / Foods,9304.0,948.0,1.0,120.0,1445.0,1566.0,3235.0,10.0,,,4627.0,,,,3211.0,1183.0,-823.0,-304.0,56.0,,,,,,,,,,,
Britannia Industries Limited,L15412WB1918PLC002964,2017,non_defaulter,FMCG / Foods,8414.0,844.0,1.0,96.0,1251.0,1348.0,2582.0,1.0,,,3696.0,,,,2558.0,402.0,-115.0,-284.0,3.0,,,,,,,,,,,
Britannia Industries Limited,L15412WB1918PLC002964,2016,non_defaulter,FMCG / Foods,7732.0,763.0,1.0,88.0,1149.0,1238.0,2016.0,1.0,,,3100.0,,,,1992.0,878.0,-659.0,-228.0,-9.0,,,,,,,,,,,
Carborundum Universal Limited,L99999TN1954PLC000759,2017,non_defaulter,Engineering / Manufacturing,1406.0,122.0,9.0,67.0,171.0,247.0,1055.0,3.0,,,1297.0,,,,1036.0,177.0,-46.0,-133.0,-2.0,,,,,,,,,,,
Carborundum Universal Limited,L99999TN1954PLC000759,2016,non_defaulter,Engineering / Manufacturing,1292.0,116.0,9.0,62.0,167.0,238.0,959.0,109.0,,,1270.0,,,,940.0,112.0,-88.0,-21.0,3.0,,,,,,,,,,,
Carborundum Universal Limited,L99999TN1954PLC000759,2015,non_defaulter,Engineering / Manufacturing,1161.0,148.0,9.0,59.0,199.0,267.0,860.0,84.0,,,1146.0,,,,841.0,106.0,-53.0,-57.0,-5.0,,,,,,,,,,,
Coal India Limited,L23109WB1973GOI028844,2017,non_defaulter,Mining,290.0,14499.0,-136.0,18.0,14510.0,14392.0,13917.0,0.0,,,18886.0,,,,7710.0,-744.0,18867.0,-17674.0,449.0,,,,,,,,,,,
Coal India Limited,L23109WB1973GOI028844,2016,non_defaulter,Mining,204.0,16593.0,-124.0,16.0,16768.0,16660.0,16045.0,0.0,,,21380.0,,,,9729.0,-783.0,18340.0,-17381.0,177.0,,,,,,,,,,,
Coal India Limited,L23109WB1973GOI028844,2015,non_defaulter,Mining,387.0,13383.0,244.0,7.0,13652.0,13903.0,16734.0,0.0,,,22151.0,,,,10418.0,12605.0,258.0,-12942.0,-79.0,,,,,,,,,,,
Cochin Shipyard Limited,L63032KL1972GOI002414,2016,non_defaulter,Shipbuilding,1990.0,292.0,12.0,37.0,450.0,499.0,1824.0,123.0,,,3349.0,,,,1711.0,40.0,47.0,-32.0,55.0,,,,,,,,,,,
Cochin Shipyard Limited,L63032KL1972GOI002414,2015,non_defaulter,Shipbuilding,1583.0,69.0,19.0,38.0,110.0,167.0,1554.0,123.0,,,2891.0,,,,1441.0,663.0,16.0,-235.0,444.0,,,,,,,,,,,
Cochin Shipyard Limited,L63032KL1972GOI002414,2014,non_defaulter,Shipbuilding,1798.0,282.0,20.0,25.0,433.0,478.0,1489.0,334.0,,,2987.0,,,,1376.0,-584.0,15.0,271.0,-298.0,,,,,,,,,,,
DLF Limited,L70101DL1963PLC004462,2018,non_defaulter,Real Estate,3056.0,365.0,1023.0,132.0,545.0,1700.0,23435.0,5707.0,,,32947.0,,,,23078.0,31.0,-3939.0,3992.0,83.0,,,,,,,,,,,
DLF Limited,L70101DL1963PLC004462,2017,non_defaulter,Real Estate,3703.0,597.0,1236.0,99.0,880.0,2215.0,14704.0,9083.0,,,28680.0,,,,14347.0,-696.0,2103.0,-1536.0,-130.0,,,,,,,,,,,
DLF Limited,L70101DL1963PLC004462,2016,non_defaulter,Real Estate,3622.0,1497.0,1385.0,75.0,1750.0,3210.0,14118.0,9381.0,,,29585.0,,,,13761.0,849.0,3901.0,-4720.0,30.0,,,,,,,,,,,
Dabur India Limited,L24230UP1975PLC003919,2018,non_defaulter,FMCG / Foods,5592.0,1072.0,22.0,102.0,1373.0,1497.0,4227.0,287.0,,,5813.0,,,,4051.0,816.0,-261.0,-496.0,59.0,,,,,,,,,,,
Dabur India Limited,L24230UP1975PLC003919,2017,non_defaulter,FMCG / Foods,5291.0,998.0,16.0,75.0,1294.0,1385.0,3658.0,284.0,,,5217.0,,,,3482.0,927.0,-679.0,-274.0,-26.0,,,,,,,,,,,
Dabur India Limited,L24230UP1975PLC003919,2016,non_defaulter,FMCG / Foods,5340.0,937.0,10.0,73.0,1209.0,1292.0,3094.0,87.0,,,4430.0,,,,2918.0,960.0,-494.0,-455.0,11.0,,,,,,,,,,,
Dilip Buildcon Limited,L45201MP1987PLC003821,2016,non_defaulter,Infrastructure,3993.0,221.0,381.0,183.0,250.0,814.0,1062.0,2511.0,,,5284.0,,,,945.0,427.0,-422.0,-133.0,-128.0,,,,,,,,,,,
Dilip Buildcon Limited,L45201MP1987PLC003821,2015,non_defaulter,Infrastructure,2624.0,146.0,259.0,118.0,195.0,572.0,873.0,2418.0,,,4555.0,,,,756.0,220.0,-761.0,708.0,167.0,,,,,,,,,,,
Dilip Buildcon Limited,L45201MP1987PLC003821,2014,non_defaulter,Infrastructure,2316.0,194.0,155.0,79.0,243.0,477.0,704.0,1283.0,,,2785.0,,,,669.0,56.0,-254.0,212.0,15.0,,,,,,,,,,,
Grasim Industries Limited,L17124MP1947PLC000410,2017,non_defaulter,Textiles,10346.0,1560.0,58.0,446.0,2125.0,2629.0,16231.0,701.0,,,19851.0,,,,16138.0,2259.0,-844.0,-1404.0,12.0,,,,,,,,,,,
Grasim Industries Limited,L17124MP1947PLC000410,2016,non_defaulter,Textiles,8969.0,971.0,147.0,445.0,1230.0,1822.0,13871.0,1839.0,,,17796.0,,,,13778.0,1341.0,-697.0,-663.0,-19.0,,,,,,,,,,,
Grasim Industries Limited,L17124MP1947PLC000410,2015,non_defaulter,Textiles,6300.0,530.0,39.0,263.0,685.0,987.0,11183.0,1115.0,,,14365.0,,,,11091.0,448.0,27.0,-448.0,27.0,,,,,,,,,,,
HT Media Limited,L22121DL2002PLC117874,2016,non_defaulter,Media,1499.0,93.0,51.0,71.0,156.0,278.0,1604.0,917.0,,,3232.0,,,,1558.0,138.0,-750.0,565.0,-47.0,,,,,,,,,,,
HT Media Limited,L22121DL2002PLC117874,2015,non_defaulter,Media,1445.0,114.0,36.0,72.0,124.0,232.0,1501.0,271.0,,,2515.0,,,,1455.0,291.0,-24.0,-224.0,44.0,,,,,,,,,,,
HT Media Limited,L22121DL2002PLC117874,2014,non_defaulter,Media,1429.0,156.0,56.0,56.0,192.0,304.0,1408.0,450.0,,,2497.0,,,,1362.0,183.0,-194.0,-14.0,-25.0,,,,,,,,,,,
Hindustan Unilever Limited,L15140MH1933PLC002030,2018,non_defaulter,FMCG / Foods,34525.0,5237.0,20.0,478.0,7285.0,7783.0,7075.0,0.0,,,17149.0,,,,6859.0,5913.0,-1261.0,-4651.0,1.0,,,,,,,,,,,
Hindustan Unilever Limited,L15140MH1933PLC002030,2017,non_defaulter,FMCG / Foods,31890.0,4490.0,22.0,396.0,6396.0,6814.0,6490.0,0.0,,,14751.0,,,,6274.0,4953.0,-752.0,-4264.0,-63.0,,,,,,,,,,,
Hindustan Unilever Limited,L15140MH1933PLC002030,2016,non_defaulter,FMCG / Foods,31061.0,4137.0,15.0,321.0,5946.0,6282.0,6279.0,0.0,,,13920.0,,,,6063.0,3974.0,-51.0,-4008.0,-85.0,,,,,,,,,,,
IRB Infrastructure Developers Limited,L65910MH1998PLC115967,2016,non_defaulter,Infrastructure,2768.0,292.0,280.0,0.0,349.0,629.0,2372.0,2921.0,,,7855.0,,,,2021.0,536.0,-437.0,-64.0,36.0,,,,,,,,,,,
IRB Infrastructure Developers Limited,L65910MH1998PLC115967,2015,non_defaulter,Infrastructure,1956.0,138.0,271.0,0.0,174.0,445.0,2149.0,2530.0,,,7146.0,,,,1798.0,648.0,-1087.0,430.0,-9.0,,,,,,,,,,,
IRB Infrastructure Developers Limited,L65910MH1998PLC115967,2014,non_defaulter,Infrastructure,2212.0,288.0,214.0,0.0,312.0,526.0,1726.0,2195.0,,,5916.0,,,,1394.0,514.0,-684.0,136.0,-34.0,,,,,,,,,,,
ITC Limited,L16005WB1910PLC001985,2018,non_defaulter,FMCG / Foods,40620.0,11223.0,110.0,1145.0,16852.0,18107.0,51400.0,18.0,,,62381.0,,,,50180.0,12651.0,-6691.0,-6020.0,-60.0,,,,,,,,,,,
ITC Limited,L16005WB1910PLC001985,2017,non_defaulter,FMCG / Foods,40080.0,10201.0,45.0,1038.0,15503.0,16586.0,45341.0,26.0,,,54216.0,,,,44126.0,10002.0,-2780.0,-7138.0,84.0,,,,,,,,,,,
ITC Limited,L16005WB1910PLC001985,2016,non_defaulter,FMCG / Foods,36583.0,9328.0,72.0,1001.0,14434.0,15507.0,41657.0,42.0,,,50031.0,,,,40852.0,9212.0,-3711.0,-5465.0,36.0,,,,,,,,,,,
Infosys Limited,L85110KA1981PLC013115,2017,non_defaulter,IT / Services,59289.0,13818.0,0.0,1331.0,18938.0,20269.0,68017.0,0.0,,,79885.0,,,,66869.0,10478.0,-13533.0,-6968.0,-10023.0,,,,,,,,,,,
Infosys Limited,L85110KA1981PLC013115,2016,non_defaulter,IT / Services,53983.0,12693.0,0.0,1115.0,17600.0,18715.0,61082.0,0.0,,,72732.0,,,,59934.0,9578.0,-1216.0,-6908.0,1454.0,,,,,,,,,,,
Infosys Limited,L85110KA1981PLC013115,2015,non_defaulter,IT / Services,47300.0,12164.0,8.0,913.0,16798.0,17719.0,48068.0,0.0,,,61813.0,,,,47494.0,7955.0,628.0,-4961.0,3622.0,,,,,,,,,,,
InterGlobe Aviation Limited,L62100DL2004PLC129768,2018,non_defaulter,Travel / Aviation,23021.0,2242.0,413.0,437.0,3127.0,3977.0,7077.0,2453.0,,,21129.0,,,,6693.0,3903.0,-4152.0,766.0,518.0,,,,,,,,,,,
InterGlobe Aviation Limited,L62100DL2004PLC129768,2017,non_defaulter,Travel / Aviation,18580.0,1659.0,406.0,457.0,2144.0,3007.0,3779.0,2596.0,,,15210.0,,,,3418.0,3782.0,-3033.0,-1401.0,-652.0,,,,,,,,,,,
InterGlobe Aviation Limited,L62100DL2004PLC129768,2016,non_defaulter,Travel / Aviation,16140.0,1986.0,350.0,505.0,2824.0,3679.0,2723.0,3245.0,,,12630.0,,,,2363.0,3116.0,-1337.0,-1220.0,559.0,,,,,,,,,,,
JSW Steel Limited,L27102MH1994PLC152925,2016,non_defaulter,Steel & Metals,36707.0,-3530.0,3219.0,2847.0,-5239.0,827.0,20410.0,35658.0,,,73508.0,,,,20109.0,5670.0,-5033.0,-982.0,-345.0,,,,,,,,,,,
JSW Steel Limited,L27102MH1994PLC152925,2015,non_defaulter,Steel & Metals,46087.0,2166.0,2909.0,2784.0,3249.0,8942.0,24960.0,28899.0,,,74892.0,,,,24657.0,8466.0,-6275.0,-1805.0,386.0,,,,,,,,,,,
JSW Steel Limited,L27102MH1994PLC152925,2014,non_defaulter,Steel & Metals,45298.0,1335.0,2740.0,2726.0,1955.0,7421.0,23520.0,27949.0,,,68426.0,,,,23217.0,5274.0,-4687.0,-366.0,220.0,,,,,,,,,,,
KEC International Limited,L45200MH2005PLC152061,2016,non_defaulter,Infrastructure,7690.0,195.0,322.0,118.0,339.0,779.0,1382.0,2564.0,,,7989.0,,,,1331.0,-37.0,-103.0,36.0,-105.0,,,,,,,,,,,
KEC International Limited,L45200MH2005PLC152061,2015,non_defaulter,Infrastructure,6592.0,111.0,313.0,70.0,182.0,565.0,1110.0,1542.0,,,6145.0,,,,1059.0,63.0,127.0,-154.0,36.0,,,,,,,,,,,
KEC International Limited,L45200MH2005PLC152061,2014,non_defaulter,Infrastructure,6559.0,86.0,298.0,55.0,151.0,504.0,1032.0,1423.0,,,6031.0,,,,981.0,-27.0,-22.0,75.0,26.0,,,,,,,,,,,
Kalpataru Projects International Limited,L45203GJ1981PLC103919,2016,non_defaulter,Infrastructure,4265.0,192.0,166.0,84.0,296.0,546.0,2215.0,599.0,,,5245.0,,,,2184.0,756.0,-170.0,-555.0,31.0,,,,,,,,,,,
Kalpataru Projects International Limited,L45203GJ1981PLC103919,2015,non_defaulter,Infrastructure,4381.0,166.0,167.0,85.0,253.0,505.0,2071.0,971.0,,,4794.0,,,,2040.0,37.0,-43.0,20.0,14.0,,,,,,,,,,,
Kalpataru Projects International Limited,L45203GJ1981PLC103919,2014,non_defaulter,Infrastructure,4022.0,146.0,171.0,70.0,219.0,460.0,1954.0,785.0,,,4596.0,,,,1923.0,84.0,-97.0,24.0,12.0,,,,,,,,,,,
Kalyan Jewellers India Limited,L36911KL2009PLC024641,2017,non_defaulter,Gems & Jewellery,7541.0,114.0,314.0,78.0,139.0,531.0,1481.0,2537.0,,,5515.0,,,,642.0,,,,,,,,,,,,,,,
Kalyan Jewellers India Limited,L36911KL2009PLC024641,2016,non_defaulter,Gems & Jewellery,7956.0,25.0,295.0,59.0,7.0,361.0,1316.0,2365.0,,,5339.0,,,,612.0,,,,,,,,,,,,,,,
Kalyan Jewellers India Limited,L36911KL2009PLC024641,2015,non_defaulter,Gems & Jewellery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsen & Toubro Limited,L99999MH1946PLC004768,2016,non_defaulter,Infrastructure,63177.0,5000.0,1686.0,997.0,6256.0,8939.0,42135.0,13924.0,,,99621.0,,,,41949.0,3300.0,-1522.0,-2464.0,-687.0,,,,,,,,,,,
Larsen & Toubro Limited,L99999MH1946PLC004768,2015,non_defaulter,Infrastructure,56942.0,5056.0,1579.0,1008.0,6701.0,9288.0,37085.0,12937.0,,,86904.0,,,,36899.0,3118.0,-1884.0,-1437.0,-203.0,,,,,,,,,,,
Larsen & Toubro Limited,L99999MH1946PLC004768,2014,non_defaulter,Infrastructure,56525.0,5493.0,1208.0,792.0,7268.0,9268.0,33661.0,11459.0,,,78305.0,,,,33476.0,1047.0,-1214.0,504.0,337.0,,,,,,,,,,,
Lemon Tree Hotels Limited,L74899DL1992PLC049022,2018,non_defaulter,Travel / Hospitality,231.0,22.0,34.0,20.0,26.0,80.0,961.0,319.0,,,1347.0,,,,175.0,51.0,-27.0,-24.0,0.0,,,,,,,,,,,
Lemon Tree Hotels Limited,L74899DL1992PLC049022,2017,non_defaulter,Travel / Hospitality,218.0,7.0,41.0,21.0,8.0,70.0,927.0,321.0,,,1306.0,,,,146.0,72.0,-17.0,-54.0,1.0,,,,,,,,,,,
Lemon Tree Hotels Limited,L74899DL1992PLC049022,2016,non_defaulter,Travel / Hospitality,193.0,-16.0,43.0,22.0,-16.0,49.0,915.0,341.0,,,1311.0,,,,137.0,45.0,-22.0,-22.0,1.0,,,,,,,,,,,
Marico Limited,L15140MH1988PLC049208,2018,non_defaulter,FMCG / Foods,5170.0,718.0,8.0,67.0,954.0,1029.0,3041.0,122.0,,,4020.0,,,,2912.0,409.0,187.0,-602.0,-6.0,,,,,,,,,,,
Marico Limited,L15140MH1988PLC049208,2017,non_defaulter,FMCG / Foods,4851.0,843.0,13.0,64.0,1142.0,1219.0,2924.0,108.0,,,3763.0,,,,2795.0,471.0,87.0,-560.0,-2.0,,,,,,,,,,,
Marico Limited,L15140MH1988PLC049208,2016,non_defaulter,FMCG / Foods,4861.0,691.0,15.0,69.0,936.0,1020.0,2538.0,204.0,,,3439.0,,,,2409.0,629.0,-86.0,-549.0,-6.0,,,,,,,,,,,
NCC Limited,L72200TG1990PLC011146,2016,non_defaulter,Infrastructure,8325.0,240.0,509.0,110.0,322.0,941.0,3261.0,1883.0,,,9256.0,,,,3150.0,489.0,365.0,-713.0,141.0,,,,,,,,,,,
NCC Limited,L72200TG1990PLC011146,2015,non_defaulter,Infrastructure,8297.0,112.0,574.0,112.0,159.0,845.0,3204.0,1995.0,,,9433.0,,,,3093.0,514.0,-79.0,-409.0,26.0,,,,,,,,,,,
NCC Limited,L72200TG1990PLC011146,2014,non_defaulter,Infrastructure,5926.0,41.0,466.0,90.0,3.0,559.0,2520.0,2475.0,,,9127.0,,,,2469.0,370.0,-173.0,-217.0,-20.0,,,,,,,,,,,
Nestle India Limited,L15202DL1959PLC003786,2018,non_defaulter,FMCG / Foods,11292.0,1607.0,112.0,336.0,2429.0,2877.0,3673.0,35.0,,,8088.0,,,,3577.0,2052.0,-52.0,-1317.0,683.0,,,,,,,,,,,
Nestle India Limited,L15202DL1959PLC003786,2017,non_defaulter,FMCG / Foods,10010.0,1225.0,92.0,342.0,1839.0,2273.0,3420.0,35.0,,,7363.0,,,,3324.0,1818.0,-131.0,-997.0,691.0,,,,,,,,,,,
Nestle India Limited,L15202DL1959PLC003786,2016,non_defaulter,FMCG / Foods,9141.0,1001.0,91.0,354.0,1545.0,1990.0,3282.0,33.0,,,6810.0,,,,3186.0,1466.0,-126.0,-666.0,674.0,,,,,,,,,,,
PNC Infratech Limited,L45201UP1999PLC024640,2016,non_defaulter,Infrastructure,2014.0,235.0,40.0,57.0,194.0,291.0,1378.0,12.0,,,1890.0,,,,1327.0,91.0,-79.0,57.0,68.0,,,,,,,,,,,
PNC Infratech Limited,L45201UP1999PLC024640,2015,non_defaulter,Infrastructure,1561.0,100.0,46.0,36.0,148.0,230.0,719.0,353.0,,,1578.0,,,,679.0,63.0,-165.0,23.0,-79.0,,,,,,,,,,,
PNC Infratech Limited,L45201UP1999PLC024640,2014,non_defaulter,Infrastructure,1152.0,70.0,23.0,25.0,104.0,152.0,629.0,275.0,,,1280.0,,,,589.0,165.0,-101.0,-2.0,62.0,,,,,,,,,,,
